MeldeLandkreisBundesland,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
Baden-Wuerttemberg,93.4,79.1,91.8,90.9,91.3,92.9,94.3,92.4,94.1,93.2,88.8,83.8,80.7,80.9,79.8,80.2,80.9,79.0,80.3,82.9,82.4,82.4,82.8,84.4,80.3,78.6,78.3,80.2,82.7,85.9,86.1,80.8,84.8,85.7,88.5,93.1,96.2,98.1,96.6,103.1,95.7,122.8,127.9,136.0,142.4,143.1,148.3,161.3,171.1,181.1,187.8,195.6,189.3,165.7,173.3,193.1,211.2,224.8,235.1,256.9,296.9,316.0,332.3,352.6,370.3,386.0,377.0,382.8,397.7,414.0,421.3,438.0,454.2,459.5,470.0,476.5,489.9,505.9,514.7,519.6,511.5,508.9,519.5,517.6,525.3,523.4,533.2,516.7,507.6,505.4,491.7,467.5,462.6,457.5,429.4,403.4,382.3,370.2,353.1,345.4,345.6,328.9,306.7,291.0,274.2,252.9,220.9,222.0,212.4,210.5,215.4,218.5,229.7,235.1,238.4,238.7,251.7,269.5,256.4,269.5,299.7,320.7,324.1,357.1,347.5,478.7,519.5,538.9,545.9,549.8,575.7,616.9,667.2,734.3,795.8,854.5,877.4,869.7,969.4,1024.1,1081.7,1123.4,1154.4,1191.4,1214.8,1284.8,1363.8,1414.7,1466.0,1524.0,1515.5,1537.4,1542.7,1564.5,1585.0,1611.6,1641.4,1646.9,1624.4,1643.0,1645.9,1606.0,1615.9,1615.5,1561.7,1525.8,1494.5,1452.0,1444.2,1434.2,1405.8,1402.1,1355.3,1357.8,1368.0,1398.8,1451.0,1486.0,1484.9,1552.1,1646.8,1701.0,1790.9,1833.8,1871.1,1901.3,1895.9,1912.2,1927.2,1932.9,1952.6,1942.4,1951.7,1926.2,1939.4,1921.2,1868.5,1675.3,1553.4
Bayern,83.1,84.2,86.4,85.8,81.7,84.3,86.7,86.3,86.0,87.1,87.0,85.2,80.5,82.0,74.6,81.7,82.8,81.2,83.9,86.4,87.8,89.7,89.1,90.1,90.0,88.6,87.9,90.5,89.9,91.3,92.6,92.3,91.4,96.7,100.2,105.2,109.0,112.9,116.1,128.6,141.0,153.9,163.7,172.7,179.1,186.7,191.3,208.7,221.9,230.7,236.1,248.1,248.9,228.4,234.8,256.8,284.0,293.0,316.2,348.0,395.8,427.4,454.9,478.7,496.4,525.7,554.2,568.4,609.5,625.3,635.6,639.4,640.0,644.9,644.3,641.1,652.5,634.5,632.2,627.6,618.2,589.3,571.6,561.5,543.7,529.6,526.4,520.6,493.2,471.2,447.7,427.5,408.6,399.1,382.6,356.0,322.5,313.4,300.1,288.7,285.2,276.7,255.6,246.0,229.1,210.7,192.7,190.4,188.5,172.6,179.3,182.6,181.6,183.3,191.0,199.9,213.3,234.7,243.8,269.8,295.1,321.8,339.5,375.1,420.2,473.1,500.8,527.4,551.5,576.3,607.1,661.2,755.0,822.2,863.9,922.2,984.1,1068.0,1159.0,1218.0,1301.2,1350.5,1384.6,1421.7,1451.4,1550.0,1695.6,1741.2,1756.0,1786.0,1819.1,1840.4,1817.5,1811.4,1823.7,1798.3,1772.0,1783.3,1764.8,1782.1,1795.5,1782.4,1773.5,1789.2,1761.9,1763.3,1804.1,1717.3,1708.2,1695.3,1696.0,1684.4,1574.3,1567.1,1580.9,1550.7,1507.1,1541.9,1560.4,1619.3,1699.9,1788.6,1876.3,1938.7,1990.7,2027.0,2008.5,2079.8,2141.9,2175.3,2133.5,2134.5,2185.9,2183.4,2199.9,2199.9,2197.5,2184.6,2178.1
Berlin,83.8,84.6,84.0,85.2,85.3,85.8,83.4,78.1,78.3,78.0,75.7,70.1,69.1,69.1,68.8,69.1,69.2,62.0,66.0,67.7,74.4,75.8,75.3,75.2,76.6,76.6,78.2,78.4,77.3,78.9,77.9,79.4,80.4,79.1,84.7,82.1,85.7,86.2,92.5,95.7,108.6,113.7,115.8,115.2,114.9,118.7,125.0,129.4,137.9,141.6,139.2,140.2,156.1,157.4,165.6,180.0,199.1,191.6,194.5,220.8,227.8,263.4,279.2,300.2,305.7,306.2,315.8,339.0,340.7,346.0,355.8,343.0,338.0,349.0,348.6,344.8,357.0,369.6,371.6,371.5,372.1,370.3,361.5,360.7,351.4,343.7,341.4,336.8,342.7,352.8,342.2,324.0,314.7,309.7,307.8,296.2,288.1,296.7,314.0,315.4,316.7,325.8,326.1,333.6,322.3,280.5,267.9,278.2,263.1,265.6,256.2,281.0,282.7,264.9,265.1,286.8,336.3,416.9,511.5,647.9,685.7,694.1,737.2,856.4,918.6,949.8,956.9,965.3,947.7,962.8,1055.1,1154.2,1258.3,1473.1,1483.8,1464.5,1593.5,1795.5,1863.2,1829.4,1846.0,1848.1,1821.0,1761.5,1694.4,1790.2,1803.4,1780.7,1727.9,1719.3,1640.4,1564.9,1495.7,1413.8,1324.9,1287.4,1275.4,1135.2,1118.0,1034.4,977.1,1085.4,1111.2,1105.9,1079.1,1079.6,1077.4,1137.3,1137.0,1109.8,1106.7,1043.0,966.4,925.6,901.9,892.4,886.6,883.7,853.1,687.7,692.3,727.5,776.0,766.5,765.6,871.8,1102.4,1117.2,1144.9,1100.8,1076.2,1071.9,997.2,1067.1,1061.1,1087.4,1109.9,1122.7,1123.0
Brandenburg,42.7,43.4,44.3,42.6,43.1,44.2,43.7,41.2,41.0,41.1,39.8,39.4,37.4,38.1,36.4,36.0,35.9,34.7,34.5,36.8,38.5,37.8,38.4,39.4,40.3,41.5,47.1,46.7,50.8,52.9,49.3,50.3,50.5,51.0,53.5,54.2,56.1,56.9,57.8,63.9,70.9,78.5,81.7,84.4,86.1,90.0,95.5,104.1,110.6,116.4,121.8,128.3,126.3,134.1,159.2,179.6,210.6,227.1,232.5,245.0,258.2,285.7,323.8,342.7,359.3,376.1,405.6,433.4,465.9,507.1,552.4,559.5,570.3,600.1,620.3,655.7,663.6,674.7,709.4,725.6,727.8,722.4,655.0,670.9,662.6,646.9,643.2,636.6,635.1,601.8,672.9,644.1,641.5,657.9,642.6,613.9,586.7,577.0,566.1,581.7,585.4,569.7,552.3,528.7,503.5,451.0,402.0,391.7,384.9,363.8,357.6,354.7,356.2,366.5,364.5,361.0,400.4,435.9,441.9,481.4,503.9,518.0,491.8,463.0,479.0,503.3,539.7,573.2,580.7,635.3,689.8,788.9,927.6,1023.9,1076.1,1102.3,1194.8,1261.6,1291.3,1291.5,1308.1,1322.6,1324.6,1385.3,1463.0,1576.1,1683.0,1682.6,1645.4,1633.6,1660.8,1654.2,1711.3,1784.4,1778.1,1797.0,1811.8,1813.7,1767.8,1753.1,1690.4,1653.5,1669.3,1656.5,1616.1,1544.6,1455.8,1451.9,1432.1,1416.5,1386.9,1430.4,1397.4,1423.6,1430.3,1406.3,1417.3,1396.5,1446.1,1435.1,1440.3,1471.6,1499.4,1518.6,1493.3,1566.9,1554.2,1582.5,1600.0,1594.2,1484.9,1457.9,1528.2,1496.8,1428.8,1425.2,1389.8,1332.2,1315.4
Bremen,125.0,114.4,117.3,117.3,114.1,112.8,108.9,105.9,104.8,110.9,108.2,102.9,106.7,111.3,115.4,114.4,109.4,112.8,115.9,116.7,121.0,114.4,115.1,113.4,114.1,106.0,108.8,105.7,103.1,104.1,102.3,100.9,96.0,85.6,79.4,77.6,72.9,75.7,72.8,70.3,72.3,72.5,70.4,70.6,67.5,69.4,74.0,75.1,77.6,79.1,85.0,85.7,86.0,87.0,84.2,83.1,85.4,87.6,88.8,87.8,92.0,92.3,100.6,103.2,101.2,113.4,115.3,114.4,133.5,140.4,155.0,166.4,179.1,183.6,201.0,190.4,219.4,223.3,213.9,218.9,219.5,213.0,228.0,203.8,201.9,172.3,214.7,215.5,217.2,223.3,227.0,228.5,191.6,220.8,229.8,226.6,230.8,253.6,263.5,264.9,277.2,280.4,285.5,296.6,284.7,264.9,270.1,273.6,264.5,285.7,278.6,328.3,402.0,418.7,468.6,516.4,575.8,713.7,799.6,983.3,1032.6,1028.0,1185.1,1296.8,1349.2,1427.2,1378.4,1401.2,1389.3,1297.4,1295.6,1294.9,1258.7,1325.6,1256.7,1387.8,1496.3,1581.5,1491.0,1588.7,1537.8,1516.2,1575.9,1419.7,1296.5,1284.5,1322.2,1286.5,1321.1,1313.0,1362.1,1402.8,1376.2,1303.7,1257.4,1243.1,1255.3,1059.4,1004.8,964.8,875.1,877.3,882.0,845.6,818.1,750.3,765.6,829.4,775.6,749.6,698.8,711.9,708.2,703.1,650.8,663.7,615.6,588.4,723.0,730.7,781.3,839.8,882.0,850.3,842.9,1001.6,1117.6,1165.1,1219.8,1261.4,1344.4,1412.8,1348.3,1331.4,1322.4,1400.3,1223.3,1424.7,1564.6
Hamburg,77.8,76.0,75.4,70.7,64.3,65.5,64.1,60.2,60.4,60.6,57.5,52.6,50.1,52.4,52.0,54.2,56.6,54.1,54.2,51.6,58.4,68.7,63.1,64.2,68.1,61.0,57.4,56.0,54.9,55.2,51.7,50.8,50.4,51.2,51.2,52.2,57.9,59.4,58.8,61.6,70.3,79.1,86.4,92.2,100.5,97.1,89.4,92.4,96.7,100.4,100.7,108.2,115.2,108.7,107.4,117.8,125.5,130.0,133.4,138.6,131.3,135.0,136.5,142.7,160.2,167.0,164.5,151.5,158.8,159.5,157.5,183.5,195.0,196.8,186.9,185.4,200.4,210.7,221.8,227.9,213.5,204.2,195.7,203.2,204.3,213.2,224.5,217.9,211.1,194.2,207.6,216.7,225.9,231.6,231.6,228.6,236.0,242.7,268.4,287.3,288.2,280.1,297.5,307.1,305.4,310.4,318.4,326.3,272.4,266.6,271.9,304.1,347.4,360.4,397.2,390.2,390.8,409.8,444.1,497.1,575.2,560.9,581.1,568.9,576.3,665.0,737.7,831.5,805.8,900.1,994.6,1083.6,1221.9,1394.7,1552.9,1535.9,1547.4,1250.3,1616.2,1673.4,1747.2,1891.4,1780.3,1598.4,1511.1,1485.6,1474.4,1437.4,1570.9,1526.3,1405.4,1299.0,1226.8,1205.6,1210.9,1292.5,1232.6,1085.4,1013.1,980.2,897.7,878.0,954.6,945.8,800.3,701.6,670.3,635.9,583.9,598.7,618.3,548.2,496.7,483.4,539.1,545.9,611.0,619.4,596.0,587.7,604.6,643.6,695.0,770.5,779.0,754.3,827.5,843.8,924.4,981.3,1102.3,1116.8,988.1,969.0,1021.3,1078.7,1151.7,1237.5,1268.8
Hessen,106.3,105.3,103.9,100.6,95.5,90.9,86.8,81.0,79.0,78.1,74.4,72.4,68.6,66.2,66.1,64.8,66.1,63.8,64.0,65.3,65.2,63.6,63.5,63.6,62.2,61.4,60.2,60.8,60.6,62.6,62.4,61.2,57.9,55.6,54.0,54.5,55.7,56.1,53.6,61.2,65.7,70.1,73.0,79.3,80.2,82.2,92.9,103.0,111.6,114.7,118.8,124.2,122.9,126.3,130.0,135.8,141.8,145.0,149.0,149.7,156.4,164.3,171.6,173.1,181.6,184.9,188.4,195.5,207.9,214.6,218.6,228.4,236.1,240.0,252.2,258.0,268.3,276.3,276.4,278.2,272.7,268.3,279.2,270.7,271.0,271.1,269.2,270.1,268.4,266.7,264.6,263.5,258.3,259.5,247.6,239.1,231.2,221.3,211.4,202.3,202.3,201.1,196.8,195.8,195.8,186.7,169.1,167.6,168.0,175.1,180.6,193.8,196.7,202.0,204.1,222.6,252.3,281.9,300.2,336.3,363.1,376.9,386.1,417.6,468.2,522.1,579.5,602.3,626.7,676.7,694.9,739.6,827.7,873.8,919.7,937.7,1025.4,1093.4,1202.1,1285.5,1351.1,1395.8,1411.0,1477.7,1533.0,1579.9,1621.8,1628.8,1650.6,1670.0,1664.0,1684.4,1674.3,1668.2,1636.0,1593.6,1538.9,1475.7,1396.2,1310.5,1273.5,1211.6,1202.1,1195.5,1138.1,1092.8,1023.4,1005.1,974.0,962.7,944.9,921.5,881.8,884.7,877.5,879.3,911.8,919.8,933.9,978.9,1018.5,1028.9,1072.4,1088.3,1084.4,1133.0,1154.3,1212.9,1256.4,1285.9,1275.8,1284.5,1364.5,1404.8,1455.8,1484.9,1494.6,1534.0,1532.9
Mecklenburg-Vorpommern,38.9,37.7,37.9,38.7,37.8,36.2,33.6,32.3,31.5,31.8,30.1,27.5,27.4,27.4,30.6,32.4,34.0,34.6,39.0,44.9,48.8,49.7,50.5,49.9,49.8,47.7,47.0,48.8,47.2,46.9,50.0,51.0,50.9,56.6,55.5,57.5,56.3,55.3,54.9,53.6,53.8,58.8,59.6,60.0,62.0,62.2,65.9,71.5,76.4,83.1,89.8,93.1,94.4,94.9,109.4,118.7,127.3,128.6,136.0,142.2,152.1,162.6,165.6,164.8,170.0,176.4,179.8,173.8,190.2,205.8,237.0,255.0,265.3,294.0,329.9,341.7,373.2,382.7,389.3,401.0,402.0,393.1,417.7,429.2,430.0,437.6,440.2,441.0,434.8,424.4,413.0,423.8,426.1,438.9,432.5,451.1,451.6,447.7,440.2,423.1,420.6,418.9,388.8,394.2,364.0,318.7,305.5,299.0,300.4,273.5,254.5,254.0,261.9,263.9,277.0,284.3,317.7,352.1,367.3,389.4,413.3,420.1,419.4,426.1,421.1,426.3,430.7,465.0,467.2,471.6,534.1,608.4,662.0,737.7,777.4,788.1,824.4,905.8,955.9,1011.6,1042.0,1059.9,1079.2,1119.7,1123.7,1164.0,1211.9,1250.1,1287.5,1333.3,1335.6,1356.1,1413.4,1407.0,1391.9,1381.4,1371.8,1386.4,1412.7,1341.9,1367.0,1418.7,1438.8,1414.7,1398.4,1398.6,1466.9,1486.7,1447.0,1451.0,1483.6,1538.8,1557.5,1626.4,1678.2,1716.4,1759.7,1764.7,1806.8,1767.2,1938.1,2033.7,2096.1,2150.6,2180.7,2267.0,2300.1,2387.0,2468.1,2474.1,2490.0,2462.9,2459.6,2371.2,2422.5,2403.4,2363.3,2366.8,2366.6
Niedersachsen,74.2,75.7,75.8,73.0,68.3,65.6,61.8,59.1,58.3,58.6,56.8,51.1,51.0,49.3,47.5,46.8,46.8,45.2,44.9,46.2,46.8,47.0,45.4,46.1,45.6,42.1,42.7,42.3,41.4,41.4,42.7,42.6,42.1,43.9,45.4,48.4,50.0,49.5,49.0,50.7,54.4,56.5,53.8,60.7,61.3,62.5,65.3,70.6,73.4,75.4,78.2,79.2,77.9,80.8,88.8,94.8,97.1,101.8,104.7,103.1,106.2,105.5,113.7,118.4,129.8,132.8,132.8,139.2,147.9,154.2,161.1,159.6,174.3,181.0,184.0,195.1,201.2,209.8,212.2,217.4,215.7,207.0,206.8,205.9,203.0,203.5,204.6,196.0,201.1,198.7,197.6,197.0,173.3,163.4,187.1,178.6,179.2,176.4,174.1,173.8,177.1,173.4,167.9,155.5,156.0,127.2,105.4,129.7,126.6,128.2,144.8,157.4,139.0,133.4,174.6,183.0,195.3,214.8,239.8,269.3,296.0,308.6,322.4,337.1,362.6,380.8,402.5,417.1,431.0,461.0,462.4,512.4,571.2,621.2,663.9,689.4,752.2,770.1,798.8,844.5,886.9,907.5,910.5,949.9,972.4,1014.2,1050.7,1101.6,1102.2,1120.5,1169.0,1180.2,1208.2,1220.5,1216.2,1206.5,1191.9,1182.7,1134.9,1130.0,1122.0,1114.2,1113.4,1107.6,1123.3,1090.6,1073.5,1141.6,1157.0,1146.7,1143.5,1137.8,1096.7,1111.8,1148.6,1171.4,1172.8,1191.2,1213.5,1209.4,1263.9,1319.0,1372.3,1389.3,1400.9,1478.6,1522.1,1540.4,1683.2,1723.5,1652.0,1677.6,1811.2,1878.7,1951.4,2010.5,2042.6,1977.8,1941.8
Nordrhein-Westfalen,103.3,100.8,99.3,99.4,94.6,87.9,81.8,77.7,73.6,73.0,69.0,65.2,64.0,61.2,58.5,58.3,57.5,55.6,53.9,55.9,55.9,54.2,53.8,52.9,51.5,51.2,50.2,50.3,50.4,52.1,52.2,52.0,49.9,49.6,48.5,47.9,47.9,48.5,49.1,52.0,57.1,61.0,64.2,68.9,70.6,72.9,79.2,91.7,99.7,104.1,109.0,111.2,106.9,96.2,96.5,106.8,112.7,120.4,123.2,130.0,147.9,154.3,157.0,159.8,162.6,167.0,176.6,183.0,192.3,200.9,213.1,219.8,229.1,249.0,249.7,262.2,274.2,278.5,276.4,276.8,285.9,289.1,282.7,288.1,288.5,290.2,290.3,297.0,290.2,293.2,285.2,284.8,279.6,276.8,267.9,255.4,250.4,250.4,238.3,237.0,238.3,232.1,220.6,219.7,209.6,198.9,181.9,183.8,179.4,176.4,177.0,183.7,195.9,199.4,206.2,216.9,233.6,262.7,291.5,320.5,351.0,361.5,381.7,395.7,416.7,441.6,470.2,489.0,504.8,543.7,573.2,627.4,680.8,733.6,748.0,789.5,867.5,929.5,991.8,1084.1,1145.3,1176.3,1212.9,1272.1,1299.0,1314.1,1370.9,1420.1,1416.8,1444.3,1485.0,1483.9,1525.7,1532.7,1537.5,1524.5,1508.1,1480.0,1437.1,1395.5,1359.9,1290.0,1261.2,1249.9,1189.2,1152.1,1130.3,1118.0,1106.8,1087.3,1076.5,1026.6,981.0,963.4,1004.7,1067.3,1086.9,1132.7,1232.1,1277.4,1346.4,1355.5,1369.2,1394.3,1349.8,1382.3,1403.7,1435.6,1461.5,1463.9,1415.3,1404.1,1416.2,1399.2,1404.0,1395.5,1401.6,1405.2,1393.7
