LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
LK Ahrweiler,7131,216.9,213.1,203.1,212.3,197.0,182.4,180.1,161.7,137.2,143.3,111.9,111.9,103.5,82.8,64.4,52.1,49.1,46.0,38.3,29.9,26.8,27.6,25.3,24.5,26.8,29.9,35.3,41.4,45.2,49.1,50.6,53.6,55.9,53.6,59.8,56.7,56.7,52.9,50.6,44.5,61.3,72.8,76.6,90.4,93.5,98.9,105.8,108.1,98.9,106.5,101.2,101.9,98.9,92.0,76.6,92.0,98.9,101.2,104.2,114.2,132.6,153.3,146.4,151.7,148.7,150.2,148.7,141.0,167.8,161.7,172.4,192.4,206.2,217.7,226.1,226.1,278.2,282.8,293.5,282.8,283.6,282.0,285.9,262.9,272.1,262.9,259.8,262.9,281.3,251.4,227.6,197.7,199.3,199.3,180.9,180.1,183.2,179.3,187.8,179.3,181.6,174.0,173.2,161.7,162.5,147.2,124.2,124.2,125.7,108.8,100.4,105.8,107.3,105.0,108.8,108.1,136.4,191.6,213.8,228.4,281.3,295.1,309.6,333.4,318.8,321.9,338.8,338.0,339.5,318.1,392.4,473.6,521.2,567.9,610.1,620.0,680.6,699.0,714.3,749.5,781.7,783.3,797.1,768.7,772.5,814.7,859.1,969.5,992.5,1057.6,1128.9,1210.9,1204.0,1205.6,1150.4,1111.3,1104.4,1040.8,1011.7,1006.3,1045.4,1001.7,1073.0,1027.0,1017.8,976.4,851.5,822.4,831.6,775.6,819.3,813.9,991.7,1009.4,1165.7,1266.9,1338.1,1388.0,1499.1,1572.7,1679.2,1629.4,1575.0,1604.9,1560.4,1624.8,1623.2,1610.2,1691.5,1727.5,1674.6,1685.3,1651.6,1693.8,1699.1,1652.4,1705.3,1718.3,1775.0
LK Aichach-Friedberg,9771,63.0,77.0,73.3,73.3,69.6,87.4,77.0,79.2,73.3,77.8,77.0,79.2,71.8,75.5,76.3,73.3,71.8,70.4,74.1,80.0,82.9,88.9,79.2,102.2,105.2,105.2,94.8,89.6,85.9,97.0,88.1,80.7,65.9,93.3,96.3,95.5,102.9,107.4,105.9,114.1,119.2,127.4,138.5,112.6,149.6,167.4,155.5,198.5,224.4,225.1,217.0,209.6,225.1,192.6,193.3,225.1,245.1,318.5,299.9,333.3,375.5,439.9,448.1,484.4,471.8,491.8,502.1,519.2,541.4,537.7,565.8,491.8,576.2,591.0,576.2,582.9,565.1,603.6,642.1,612.5,619.9,591.0,571.0,511.8,541.4,487.3,483.6,474.7,505.8,432.5,473.2,363.6,357.0,351.0,338.5,299.9,281.4,261.4,262.9,272.5,265.9,261.4,268.8,241.4,229.6,222.2,175.5,186.6,188.1,135.5,168.9,178.5,182.9,167.4,194.8,202.9,206.6,233.3,308.1,317.0,375.5,399.9,391.0,440.7,439.2,544.3,540.6,551.0,591.0,616.9,554.7,530.3,849.5,870.2,825.8,956.9,996.9,1090.2,1165.0,1186.5,1328.7,1349.4,1473.8,1727.1,1902.6,2314.4,2264.0,2186.3,2132.2,2108.5,2139.6,2227.8,2151.5,2175.2,2186.3,2267.7,2309.2,2103.3,1964.8,1849.3,1955.2,2004.8,2001.9,2115.2,2081.1,2183.3,2247.0,2313.7,2231.5,2399.6,2180.4,2247.7,2021.1,1890.0,1700.4,1727.1,1617.5,1676.7,1633.0,1825.6,1938.2,2058.2,2035.9,2135.2,2109.3,2345.5,1987.8,2310.0,2355.9,2395.1,2212.2,2085.6,2095.2,2422.5,2367.7,2447.7,2335.1,2306.3,2301.8
LK Alb-Donau-Kreis,8425,68.1,63.1,59.5,59.5,58.5,62.1,62.6,66.6,69.6,66.6,66.1,67.6,69.6,68.1,77.2,76.2,75.7,72.7,65.6,67.1,67.6,52.5,44.9,44.4,56.0,55.5,59.5,67.1,69.6,79.2,78.2,65.6,75.2,76.7,80.7,91.3,94.3,97.4,95.9,113.0,98.9,144.3,150.9,158.9,162.0,166.5,174.6,186.2,206.9,215.4,233.6,237.6,238.1,198.8,215.4,253.8,268.4,296.7,302.2,305.2,369.3,407.7,414.7,446.5,476.8,491.9,473.8,477.3,504.0,532.3,556.0,558.0,557.0,560.5,579.2,555.0,586.3,572.1,550.4,545.4,558.5,575.2,560.0,507.6,506.5,515.6,527.2,491.9,468.2,459.6,465.7,429.9,403.1,396.6,377.4,348.6,317.9,293.6,277.5,271.4,258.8,245.7,215.4,196.8,191.7,168.5,154.9,156.4,156.4,153.9,153.9,166.0,171.5,175.1,181.6,180.1,187.7,215.4,233.1,210.9,271.9,279.5,278.0,345.6,402.6,459.6,558.0,586.3,580.7,571.6,625.1,671.5,750.2,795.1,827.4,854.7,944.5,1000.0,1087.8,1142.3,1324.4,1406.6,1418.2,1505.0,1500.0,1722.0,1872.3,1931.3,1977.3,2031.2,2055.5,2101.4,2007.0,1896.0,1987.3,2002.5,2077.2,1986.8,1884.4,1826.4,1994.4,1829.9,1922.3,1861.2,1826.9,1845.6,1853.6,1822.9,1870.3,1802.2,1701.8,1730.5,1696.2,1708.3,1628.1,1636.2,1665.5,1694.7,1713.4,1770.9,1888.0,2073.1,2173.0,2191.7,2312.8,2289.1,2316.3,2166.0,2259.8,2320.8,2314.3,2311.8,2383.9,2287.0,2314.3,2208.3,2055.5,1801.7,1565.6
LK Altenburger Land,16077,35.1,39.6,41.9,37.3,32.8,34.0,34.0,39.6,36.2,39.6,39.6,30.6,39.6,44.1,48.7,46.4,45.3,43.0,47.5,43.0,43.0,55.5,66.8,79.2,74.7,86.0,89.4,105.3,90.5,121.1,116.6,122.2,131.3,141.5,121.1,173.2,176.6,181.1,150.5,207.1,212.8,239.9,216.2,256.9,261.4,228.6,290.9,309.0,332.7,330.5,421.0,453.8,384.8,436.9,404.0,436.9,488.9,430.1,432.3,392.7,370.1,393.9,423.3,433.5,568.2,586.3,595.3,685.9,666.6,725.5,797.9,829.6,812.6,737.9,888.5,979.0,1033.3,1051.4,1177.1,1186.1,1168.0,1114.8,1012.9,992.6,1077.5,1042.4,1023.1,905.4,880.5,878.3,717.6,623.6,611.2,783.2,717.6,656.4,639.5,720.9,702.8,650.8,654.2,578.3,598.7,533.1,479.9,427.8,395.0,399.5,371.2,319.2,332.7,322.6,338.4,328.2,342.9,332.7,372.4,312.4,281.8,305.6,322.6,319.2,239.9,195.8,178.8,181.1,150.5,143.7,148.3,118.8,139.2,163.0,183.3,207.1,218.4,225.2,208.2,282.9,346.3,373.5,406.3,433.5,442.5,371.2,449.3,521.8,601.0,648.5,737.9,748.1,718.7,773.0,802.4,931.5,943.9,999.4,1015.2,946.2,983.5,1010.7,1061.6,1046.9,1088.8,1130.7,1161.2,882.8,1174.8,1327.6,1456.6,1627.5,1744.1,1491.7,1480.4,1488.3,1488.3,1550.5,1582.2,1732.8,1690.9,1907.1,2194.5,2281.7,2602.0,2611.0,2589.5,2572.5,2677.8,2683.5,2662.0,2666.5,2768.3,2856.6,2866.8,2578.2,2334.9,2213.8,2161.7,2192.3,2320.2
LK Altenkirchen,7132,116.2,106.9,117.0,124.7,123.9,113.1,98.4,93.7,83.7,75.9,67.4,62.0,57.3,55.8,45.7,38.7,39.5,39.5,38.0,38.7,38.0,35.6,34.9,35.6,34.9,31.8,20.1,25.6,33.3,30.2,28.7,28.7,32.5,32.5,26.3,22.5,21.7,35.6,41.1,44.9,45.7,51.9,59.6,58.9,53.5,58.9,58.1,91.4,101.5,110.8,102.3,105.4,106.9,82.1,58.9,77.5,103.8,95.3,108.5,134.8,144.9,161.1,148.0,160.4,161.9,152.6,168.9,170.4,185.9,193.7,216.1,213.0,219.2,244.8,267.3,277.3,289.7,309.1,296.7,313.0,277.3,296.7,309.9,302.9,330.0,316.8,309.9,292.8,287.4,281.2,269.6,266.5,268.0,278.9,244.0,204.5,173.5,164.2,172.8,150.3,152.6,144.9,140.2,115.4,116.2,101.5,86.0,82.9,95.3,100.7,132.5,148.7,158.8,172.8,163.5,185.9,192.1,206.8,229.3,251.0,258.0,235.5,271.1,261.1,255.6,234.0,240.1,230.1,243.2,237.8,270.4,299.8,330.8,411.4,416.0,436.9,512.1,546.9,585.7,670.1,771.6,765.4,781.6,931.2,1086.9,1134.1,1101.6,1246.4,1193.0,1147.3,1133.3,1119.4,1107.8,1172.9,1204.6,1210.0,1258.1,1221.7,1189.9,1166.7,1107.0,1113.2,1093.8,1100.0,941.2,965.2,904.8,1004.0,1008.6,930.4,1024.1,918.0,880.0,820.4,944.3,1031.9,993.9,977.6,1020.2,1242.6,1275.9,1343.3,1363.4,1378.9,1378.9,1423.1,1352.6,1366.5,1547.8,1637.7,1616.7,1636.1,1398.3,1441.7,1292.9,1258.8,1405.3,1457.2,1479.6
LK Altmarkkreis Salzwedel,15081,13.3,16.9,16.9,16.9,20.6,25.4,24.2,25.4,21.8,21.8,24.2,18.1,20.6,24.2,20.6,24.2,24.2,23.0,24.2,23.0,25.4,27.8,30.2,31.4,30.2,29.0,26.6,29.0,39.9,44.7,44.7,46.0,53.2,70.1,72.6,85.9,108.8,107.6,107.6,133.0,148.8,163.3,217.7,241.9,255.2,260.0,270.9,321.7,348.3,342.3,366.4,371.3,382.2,418.4,388.2,419.7,441.4,449.9,460.8,460.8,434.2,511.6,520.0,535.8,546.6,572.0,566.0,538.2,586.5,569.6,587.8,561.2,587.8,627.7,696.6,657.9,693.0,684.5,702.6,678.5,665.2,670.0,653.1,653.1,670.0,677.3,656.7,650.6,624.0,662.7,620.4,580.5,541.8,533.3,550.3,500.7,475.3,474.1,459.6,462.0,448.7,436.6,471.7,394.3,373.7,307.2,274.5,260.0,229.8,211.6,231.0,208.0,240.7,260.0,261.2,262.4,245.5,239.5,298.7,286.6,299.9,304.8,332.6,314.4,320.5,283.0,289.0,301.1,303.6,292.7,338.6,356.8,381.0,443.8,436.6,471.7,504.3,537.0,679.7,738.9,760.7,849.0,946.9,968.7,953.0,901.0,979.6,1107.8,1083.6,1077.6,1180.4,1207.0,1280.7,1364.2,1396.8,1428.3,1436.7,1446.4,1487.5,1519.0,1558.9,1665.3,1700.4,1706.4,1561.3,1621.8,1750.0,1627.8,1563.7,1728.2,1710.1,1659.3,1591.5,1401.7,1548.0,1714.9,1591.5,1707.6,1847.9,1960.4,2111.6,2124.9,2156.3,1995.5,1994.3,2016.0,2110.4,2250.7,2540.9,2827.5,2987.2,3097.2,3224.2,3323.4,3351.2,3336.7,3022.2,3105.7,3104.5
LK Altoetting,9171,124.5,118.2,129.0,128.1,127.2,132.6,132.6,137.9,140.6,132.6,122.7,109.3,94.9,87.8,74.3,81.5,75.2,82.4,89.6,94.0,95.8,98.5,87.8,92.2,87.8,96.7,98.5,104.8,103.0,103.9,99.4,90.5,86.9,96.7,102.1,113.7,116.4,153.2,151.4,197.0,219.4,248.1,263.3,295.6,297.3,297.3,302.7,303.6,297.3,275.0,283.9,348.4,344.8,323.3,339.4,383.3,478.3,479.2,501.5,618.9,649.3,745.2,761.3,748.7,689.6,738.0,832.9,849.1,867.0,967.3,988.8,976.2,939.5,927.9,911.7,954.7,850.8,851.7,852.6,804.3,747.0,601.0,752.3,705.8,719.2,661.9,647.5,658.3,715.6,597.4,566.0,526.6,510.5,499.8,474.7,448.7,433.5,412.9,410.2,403.9,399.4,377.1,344.8,305.4,279.4,279.4,238.2,231.1,249.9,224.8,233.8,226.6,207.8,203.3,196.1,206.0,197.9,202.4,231.1,251.7,284.8,304.5,273.2,346.6,370.8,337.7,381.5,446.9,489.9,551.7,573.2,630.5,735.3,862.5,898.3,978.0,929.7,1022.8,1158.0,1151.8,1278.1,1227.9,1341.6,1519.9,1503.8,1670.3,1820.8,1881.7,2034.9,2006.2,1862.9,2001.7,1965.9,1947.1,1965.0,1862.9,1937.2,1902.3,1984.7,2069.8,1961.4,1905.0,1998.1,1922.0,1937.2,1919.3,1737.5,1762.6,1699.0,1716.9,1660.5,1608.5,1344.3,1513.6,1563.8,1690.0,1562.0,1678.4,1735.7,2025.0,2086.8,2093.1,2171.9,2317.0,2357.3,2615.2,2744.2,2696.7,2857.9,2896.4,2909.9,2956.5,2910.8,2840.9,3036.2,3055.0,3047.8,3116.8,3125.7
LK Alzey-Worms,7331,120.9,128.5,138.5,129.3,120.1,128.5,127.0,119.3,108.6,122.4,107.9,101.0,81.1,75.7,91.8,79.6,79.6,97.9,83.4,92.6,103.3,94.9,94.9,106.3,71.9,76.5,78.8,82.6,84.9,75.7,81.1,81.9,73.4,63.5,62.0,59.7,55.8,55.1,78.0,84.2,94.9,82.6,91.8,94.1,98.7,86.4,88.0,88.0,97.2,110.9,112.5,121.6,100.2,112.5,119.3,112.5,119.3,104.8,107.9,140.8,145.4,159.9,177.5,198.1,197.4,202.0,205.0,215.7,219.6,205.8,218.0,233.3,276.9,278.5,283.8,309.8,348.1,355.7,345.0,383.3,365.7,367.2,385.6,431.5,433.8,407.0,462.8,488.8,495.0,445.2,429.9,406.2,364.9,345.8,309.8,319.0,263.2,239.5,237.9,231.8,253.2,225.7,212.7,204.3,195.8,171.4,143.8,143.8,138.5,124.7,120.1,123.9,132.3,132.3,132.3,99.5,109.4,140.8,163.7,220.3,224.2,244.0,271.6,311.4,304.5,278.5,283.8,289.2,326.7,318.2,347.3,380.2,427.6,512.6,518.7,513.3,482.7,596.7,647.2,730.6,804.8,773.4,849.9,808.6,763.5,849.9,964.7,1068.0,1069.5,1147.5,1299.8,1438.2,1402.3,1442.8,1436.7,1334.2,1418.4,1189.6,1126.9,1033.5,960.1,1067.2,1032.8,1113.9,936.4,895.8,757.4,837.7,859.1,777.3,914.2,828.5,934.1,1068.0,1066.4,1110.0,1040.4,1131.5,1071.0,1051.1,1090.9,1032.8,1143.7,1100.1,1152.1,1304.4,1223.3,1285.2,1649.4,1761.8,1699.1,1685.3,1630.3,1742.7,1670.8,1583.6,1846.8,1779.4,1993.7
LK Amberg-Sulzbach,9371,31.1,27.2,26.2,28.2,24.3,23.3,27.2,31.1,35.9,42.7,44.7,31.1,39.8,48.5,39.8,37.9,37.9,36.9,40.8,31.1,23.3,25.2,21.4,23.3,28.2,27.2,30.1,34.0,39.8,46.6,47.6,49.5,54.4,52.4,61.2,73.8,78.6,92.2,95.1,89.3,99.0,113.6,131.1,126.2,144.7,156.3,159.2,169.9,168.9,153.4,158.3,167.0,177.7,149.5,146.6,152.4,145.6,169.9,178.6,229.1,270.9,241.8,239.8,227.2,226.2,237.9,282.5,283.5,284.5,265.1,253.4,242.7,211.7,232.0,231.1,310.7,407.8,467.0,471.9,572.8,583.5,590.3,505.8,486.4,428.2,461.2,461.2,462.1,418.5,466.0,426.2,363.1,352.4,350.5,335.9,316.5,249.5,266.0,243.7,230.1,235.9,223.3,211.7,190.3,179.6,174.8,154.4,162.1,161.2,153.4,149.5,155.3,129.1,193.2,192.2,196.1,218.5,217.5,222.3,179.6,209.7,224.3,217.5,212.6,242.7,281.6,318.5,301.9,342.7,336.9,317.5,422.3,532.0,612.6,703.9,740.8,838.9,849.5,854.4,893.2,920.4,861.2,876.7,1015.6,1121.4,1228.2,1363.1,1372.8,1413.6,1464.1,1605.9,1543.7,1527.2,1463.1,1490.3,1452.5,1460.2,1489.3,1522.4,1530.1,1605.9,1656.3,1657.3,1549.5,1451.5,1412.6,1434.0,1434.0,1366.0,1336.9,1340.8,1335.0,1268.0,1199.1,1141.8,1112.6,1088.4,1098.1,1102.0,1208.8,1312.6,1369.0,1413.6,1524.3,1499.1,1498.1,1525.3,1612.7,1740.8,1702.0,1666.1,1802.9,1822.4,1835.0,1685.5,1748.6,1772.8,1783.5,1872.9
LK Ammerland,3451,58.9,53.3,45.4,43.0,53.3,50.1,36.6,35.0,33.4,34.2,37.4,25.5,25.5,31.0,29.4,31.0,31.8,28.7,31.0,26.3,24.7,29.4,31.8,30.2,32.6,30.2,39.0,36.6,33.4,39.8,41.4,42.2,43.0,43.8,48.6,47.8,40.6,37.4,37.4,39.8,34.2,27.9,27.1,39.0,44.6,44.6,40.6,45.4,46.2,51.7,42.2,39.8,39.0,43.0,49.3,52.5,52.5,59.7,58.9,60.5,56.5,76.4,80.4,70.8,105.1,121.0,121.8,137.7,144.9,159.2,159.2,164.0,167.1,179.9,174.3,171.9,167.1,169.5,142.5,178.3,163.2,165.5,155.2,147.2,120.2,143.3,118.6,113.0,121.0,117.0,117.8,105.9,77.2,74.0,96.3,100.3,95.5,87.5,92.3,90.7,88.3,89.9,89.1,86.0,102.7,84.4,62.9,98.7,103.5,111.4,125.8,129.7,94.7,81.2,164.0,159.2,160.8,133.7,217.3,288.1,322.3,356.6,374.1,394.0,434.6,481.5,437.7,449.7,514.2,510.2,510.2,515.7,427.4,612.1,668.6,686.1,745.8,764.9,795.9,830.9,889.0,853.2,874.7,834.1,811.8,811.8,752.1,690.8,695.6,711.5,709.2,709.2,753.7,795.1,853.2,878.7,784.0,781.6,788.7,779.2,795.9,760.9,745.8,801.5,787.9,794.3,807.0,846.8,842.9,837.3,814.2,799.1,822.2,801.5,776.0,802.3,833.3,854.8,865.9,856.4,917.7,924.8,963.0,1061.7,1133.4,1215.3,1252.8,1296.5,1460.5,1452.5,1513.8,1525.8,1594.2,1720.7,1612.5,1634.8,1642.0,1494.7,1485.2
